class,accel_x_mean,accel_x_std,accel_y_mean,accel_y_std,accel_z_mean,accel_z_std,gyro_x_mean,gyro_x_std,gyro_y_mean,gyro_y_std,gyro_z_mean,gyro_z_std
pinchL,0.0469,0.0132,0.1672,0.0105,4.11E-04,0.0763,-6.07E-05,0.0012,2.10E-05,0.0016,-1.28E-07,0.001
pinchL,0.0473,0.0158,0.1674,0.0143,0.0017,0.109,-1.15E-05,0.0014,1.03E-05,0.0021,-1.86E-04,0.0011
pinchL,0.0464,0.0219,0.1679,0.0178,0.001,0.112,-5.69E-05,0.0014,2.10E-05,0.0022,-2.42E-05,0.0011
pinchL,0.0461,0.0153,0.1678,0.0133,0.0013,0.1136,-4.77E-05,0.0014,1.05E-04,0.0021,-1.54E-05,0.0011
pinchL,0.0462,0.0141,0.1681,0.0135,0.0014,0.0867,-5.37E-06,0.0012,-5.46E-05,0.0017,-5.20E-05,0.001
pinchL,0.0464,0.0185,0.167,0.0153,0.0014,0.0856,-4.81E-05,0.0013,1.99E-05,0.0017,7.62E-05,0.0011
pinchL,0.047,0.0163,0.1679,0.0167,0.0014,0.1276,2.56E-05,0.0015,1.60E-05,0.0023,8.23E-05,0.001
pinchL,0.0453,0.0162,0.1689,0.0139,0.0014,0.1128,-3.59E-05,0.0013,1.83E-05,0.0021,-8.83E-05,0.0011
pinchL,0.0461,0.0162,0.1688,0.0148,7.76E-04,0.1154,5.57E-05,0.0014,5.19E-05,0.0021,-6.22E-06,0.0011
pinchL,0.0467,0.0181,0.1667,0.0161,0.0011,0.1095,1.13E-06,0.0014,8.36E-05,0.0021,-1.62E-04,0.0011
pinchL,0.0457,0.0128,0.1702,0.0122,-2.68E-04,0.0895,-5.50E-05,0.0012,3.74E-05,0.0017,9.72E-05,0.0011
pinchL,0.0456,0.0154,0.1699,0.0134,-4.12E-04,0.1087,2.74E-05,0.0013,5.31E-05,0.002,-4.30E-06,0.001
pinchL,0.045,0.0132,0.1692,0.0127,-2.65E-04,0.1028,-2.13E-04,0.0014,1.05E-04,0.0019,-2.42E-05,0.0011
pinchL,0.0448,0.0159,0.1706,0.0136,5.11E-04,0.1061,-4.24E-05,0.0013,2.17E-05,0.002,-1.22E-04,0.0011
pinchL,0.0466,0.016,0.1694,0.015,0.002,0.1171,1.47E-04,0.0013,-1.15E-04,0.0021,-1.29E-04,0.0011
pinchL,0.0461,0.0167,0.1686,0.0148,0.0021,0.1191,9.52E-06,0.0014,-1.99E-04,0.0022,7.48E-06,0.0011
pinchL,0.0464,0.0135,0.1697,0.0138,9.64E-04,0.099,-6.41E-05,0.0012,-3.02E-05,0.0018,1.03E-06,0.001
pinchL,0.0473,0.0125,0.1683,0.012,2.49E-05,0.0937,1.22E-05,0.0012,-1.09E-04,0.0018,-2.19E-05,0.0011
pinchL,0.0468,0.0143,0.1678,0.0131,3.16E-04,0.0866,8.24E-05,0.0012,4.01E-05,0.0018,4.61E-05,0.0011
pinchL,0.0466,0.0177,0.1685,0.0159,0.001,0.0978,7.94E-05,0.0013,8.36E-05,0.0017,3.96E-05,0.0011
pinchR,0.0461,0.014,0.1679,0.0127,0.0011,0.0871,7.37E-05,0.0015,5.65E-05,0.0017,1.86E-05,0.001
pinchR,0.0464,0.0227,0.1674,0.0189,0.0013,0.1194,-2.10E-04,0.0017,-5.65E-05,0.002,3.12E-05,0.0011
pinchR,0.0459,0.014,0.1686,0.0127,0.0011,0.1018,1.92E-04,0.0015,-6.83E-05,0.0018,-2.43E-06,0.001
pinchR,0.0465,0.0176,0.169,0.0169,0.0045,0.1138,-2.29E-06,0.0015,1.13E-04,0.0019,-2.72E-05,0.0011
pinchR,0.0463,0.0195,0.1684,0.0167,0.0041,0.091,1.30E-05,0.0015,1.40E-04,0.0016,-8.51E-06,0.0011
pinchR,0.0467,0.0152,0.1675,0.0142,0.0024,0.1098,-6.64E-05,0.0015,1.41E-05,0.0019,3.76E-05,0.001
pinchR,0.0466,0.0192,0.1676,0.0164,0.0011,0.0868,2.79E-05,0.0013,-1.95E-05,0.0017,3.39E-05,0.0011
pinchR,0.0465,0.0178,0.168,0.0148,0.0017,0.0857,-4.28E-05,0.0015,2.94E-05,0.0016,4.30E-05,0.0011
pinchR,0.0472,0.0189,0.1675,0.0159,9.03E-04,0.1109,1.11E-04,0.0016,9.05E-05,0.0019,-7.53E-05,0.0011
pinchR,0.0449,0.0164,0.1686,0.0142,5.65E-04,0.1111,8.32E-05,0.0015,1.40E-04,0.002,-6.04E-05,0.001
pinchR,0.0462,0.0222,0.169,0.0179,-8.25E-04,0.1127,-1.22E-04,0.0017,-6.99E-05,0.0019,-6.73E-05,0.0011
pinchR,0.0468,0.0245,0.1693,0.0177,3.25E-04,0.1144,-2.75E-05,0.0016,-1.03E-05,0.0019,1.86E-04,0.0011
pinchR,0.0468,0.0214,0.1681,0.0165,-5.11E-04,0.107,3.04E-06,0.0015,-6.04E-05,0.0018,9.99E-05,0.001
pinchR,0.0465,0.016,0.1688,0.0127,3.94E-04,0.0895,-1.83E-05,0.0013,-4.62E-05,0.0015,8.65E-05,0.0011
pinchR,0.0459,0.0211,0.1693,0.016,0.002,0.112,3.36E-05,0.0016,-6.99E-05,0.0019,-1.46E-04,0.001
pinchR,0.0468,0.0166,0.1686,0.0135,0.0015,0.1025,-9.47E-05,0.0015,4.05E-05,0.0017,-5.43E-05,0.001
pinchR,0.0472,0.0201,0.1688,0.0144,0.0023,0.1071,8.24E-05,0.0015,5.27E-05,0.0017,3.12E-05,0.0011
pinchR,0.0465,0.0149,0.1682,0.0133,3.70E-04,0.1044,-8.25E-05,0.0016,-3.63E-05,0.0017,1.98E-04,0.0011
pinchR,0.0462,0.0248,0.1698,0.017,6.53E-05,0.1118,7.02E-05,0.0016,-9.66E-05,0.0019,-2.08E-04,0.0011
pinchR,0.0465,0.0192,0.1694,0.0135,2.73E-04,0.0976,6.09E-06,0.0014,-6.57E-05,0.0016,2.91E-06,0.001
